drittsekk,
faen i helvete,
fitte,
jævla,
kuk,
kukene,
kuker,
nigger,
pikk,
sotrør,
ståpikk,
ståpikkene,
ståpikker,
faen, 
kuksuger,
puler,
puller,
morapuller,
faen,
suger,
sug,
